"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 19 13:19:31 GMT 2024","Tue Mar 19 13:19:31 GMT 2024","63","Open Banking Gateway API - AP","Reports","","","","Get API log stats Copy",""
"passed","Tue Mar 19 13:19:19 GMT 2024","Tue Mar 19 13:19:19 GMT 2024","209","Open Banking Gateway API - AP","Profile","Change Password","","","Change Password - Same as old password Copy",""
"passed","Tue Mar 19 13:19:39 GMT 2024","Tue Mar 19 13:19:39 GMT 2024","59","Open Banking Gateway API - AC","Open Banking Gateway API","Roles > View all roles","","","List Roles - No access",""
"passed","Tue Mar 19 13:19:14 GMT 2024","Tue Mar 19 13:19:14 GMT 2024","225","Open Banking Gateway API - AP","Users","Create user","","","Create User - Duplicate user",""
"passed","Tue Mar 19 13:19:23 GMT 2024","Tue Mar 19 13:19:23 GMT 2024","205","Open Banking Gateway API - AP","Audit Trail","","","","Get Audit Log - Empty LogId",""
"passed","Tue Mar 19 13:19:35 GMT 2024","Tue Mar 19 13:19:36 GMT 2024","62","Open Banking Gateway API - AC","Open Banking Gateway API","Onboarding > Verify Email","","","Verify Email",""
"passed","Tue Mar 19 13:19:48 GMT 2024","Tue Mar 19 13:19:49 GMT 2024","112","Open Banking Gateway API - AC","Open Banking Gateway API","Settings > API Keys (Test/Live) > Reset API Key","","","Reset API Key - No environment",""
"passed","Tue Mar 19 13:19:37 GMT 2024","Tue Mar 19 13:19:37 GMT 2024","61","Open Banking Gateway API - AC","Open Banking Gateway API","Onboarding > Reset Password","","","Reset Password - Used token",""
"passed","Tue Mar 19 13:19:37 GMT 2024","Tue Mar 19 13:19:37 GMT 2024","360","Open Banking Gateway API - AC","Open Banking Gateway API","Onboarding > Login with 2FA","","","Login With 2FA",""
"passed","Tue Mar 19 13:19:12 GMT 2024","Tue Mar 19 13:19:12 GMT 2024","219","Open Banking Gateway API - AP","Roles","Update role","","","Update Role empty status",""
"passed","Tue Mar 19 13:19:11 GMT 2024","Tue Mar 19 13:19:11 GMT 2024","227","Open Banking Gateway API - AP","Roles","Create role","","","Create Role - Duplicate role",""
"passed","Tue Mar 19 13:19:46 GMT 2024","Tue Mar 19 13:19:46 GMT 2024","64","Open Banking Gateway API - AC","Open Banking Gateway API","Profile > 2FA > Disable 2FA","","","Disable 2FA",""
"passed","Tue Mar 19 13:19:35 GMT 2024","Tue Mar 19 13:19:35 GMT 2024","60","Open Banking Gateway API - AC","Open Banking Gateway API","Onboarding > Sign Up","","","Sign Up - Invalid first-name(numbers)",""
"passed","Tue Mar 19 13:19:32 GMT 2024","Tue Mar 19 13:19:32 GMT 2024","60","Open Banking Gateway API - AP","Settings","","","","Get IP Whitelists",""
"passed","Tue Mar 19 13:19:35 GMT 2024","Tue Mar 19 13:19:35 GMT 2024","63","Open Banking Gateway API - AC","Open Banking Gateway API","Onboarding > Sign Up","","","Sign Up - Blank email",""
"passed","Tue Mar 19 13:19:13 GMT 2024","Tue Mar 19 13:19:13 GMT 2024","215","Open Banking Gateway API - AP","Roles","View all role permissions","","","List Role Permissions - Invalid id",""
"passed","Tue Mar 19 13:19:41 GMT 2024","Tue Mar 19 13:19:41 GMT 2024","114","Open Banking Gateway API - AC","Open Banking Gateway API","Users > Create user","","","Create User - Blank role",""
"passed","Tue Mar 19 13:19:25 GMT 2024","Tue Mar 19 13:19:25 GMT 2024","251","Open Banking Gateway API - AP","Collections","Create collection","","","Create Collection",""
"passed","Tue Mar 19 13:19:46 GMT 2024","Tue Mar 19 13:19:47 GMT 2024","159","Open Banking Gateway API - AC","Open Banking Gateway API","Collections > View all collections","","","List Collections",""
"passed","Tue Mar 19 13:19:41 GMT 2024","Tue Mar 19 13:19:41 GMT 2024","63","Open Banking Gateway API - AC","Open Banking Gateway API","Users > Setup Account","","","Setup Account - Password complexity",""
"passed","Tue Mar 19 13:19:47 GMT 2024","Tue Mar 19 13:19:47 GMT 2024","112","Open Banking Gateway API - AC","Open Banking Gateway API","Collections > View Collection APIs","","","List APIs - Empty Environment",""
"passed","Tue Mar 19 13:19:34 GMT 2024","Tue Mar 19 13:19:35 GMT 2024","62","Open Banking Gateway API - AC","Open Banking Gateway API","Onboarding > Sign Up","","","Sign Up - Duplicate account Copy",""
"passed","Tue Mar 19 13:19:19 GMT 2024","Tue Mar 19 13:19:19 GMT 2024","269","Open Banking Gateway API - AP","Profile","Change Password","","","Change Password - Mismatched Password",""
"passed","Tue Mar 19 13:19:38 GMT 2024","Tue Mar 19 13:19:38 GMT 2024","146","Open Banking Gateway API - AC","Open Banking Gateway API","Roles > Create role","","","Create Role",""
"passed","Tue Mar 19 13:19:15 GMT 2024","Tue Mar 19 13:19:15 GMT 2024","220","Open Banking Gateway API - AP","Users","View all users","","","List Users",""
"passed","Tue Mar 19 13:19:36 GMT 2024","Tue Mar 19 13:19:36 GMT 2024","61","Open Banking Gateway API - AC","Open Banking Gateway API","Onboarding > Login","","","Login - Incorrect email",""
"passed","Tue Mar 19 13:19:07 GMT 2024","Tue Mar 19 13:19:07 GMT 2024","741","Open Banking Gateway API - AP","Onboarding","Login","","","Login",""
"passed","Tue Mar 19 13:19:35 GMT 2024","Tue Mar 19 13:19:35 GMT 2024","65","Open Banking Gateway API - AC","Open Banking Gateway API","Onboarding > Sign Up","","","Sign Up - Invalid last-name(numbers)",""
"passed","Tue Mar 19 13:19:31 GMT 2024","Tue Mar 19 13:19:31 GMT 2024","214","Open Banking Gateway API - AP","Settings","","","","Update KYB Requirements",""
"passed","Tue Mar 19 13:19:39 GMT 2024","Tue Mar 19 13:19:39 GMT 2024","119","Open Banking Gateway API - AC","Open Banking Gateway API","Roles > View all roles","","","List Roles",""
"passed","Tue Mar 19 13:19:50 GMT 2024","Tue Mar 19 13:19:50 GMT 2024","59","Open Banking Gateway API - AC","Open Banking Gateway API","Company","","","Get Company Types",""
"passed","Tue Mar 19 13:19:35 GMT 2024","Tue Mar 19 13:19:35 GMT 2024","61","Open Banking Gateway API - AC","Open Banking Gateway API","Onboarding > Sign Up","","","Sign Up - Invalid first-name(<2 characters)",""
"passed","Tue Mar 19 13:19:48 GMT 2024","Tue Mar 19 13:19:48 GMT 2024","56","Open Banking Gateway API - AC","Open Banking Gateway API","Collections > Calling Endpoints","","","Direct-debit",""
"passed","Tue Mar 19 13:19:47 GMT 2024","Tue Mar 19 13:19:47 GMT 2024","193","Open Banking Gateway API - AC","Open Banking Gateway API","Collections > View Collection APIs","","","List APIs",""
"passed","Tue Mar 19 13:19:32 GMT 2024","Tue Mar 19 13:19:32 GMT 2024","246","Open Banking Gateway API - AP","Settings","","","","Reset API Key",""
"passed","Tue Mar 19 13:19:46 GMT 2024","Tue Mar 19 13:19:46 GMT 2024","64","Open Banking Gateway API - AC","Open Banking Gateway API","Profile > 2FA > Setup 2FA","","","Setup 2FA - No authorization",""
"passed","Tue Mar 19 13:19:43 GMT 2024","Tue Mar 19 13:19:43 GMT 2024","409","Open Banking Gateway API - AC","Open Banking Gateway API","Profile > Change Password","","","Change Password - Incorrect Old Password",""
"passed","Tue Mar 19 13:19:51 GMT 2024","Tue Mar 19 13:19:51 GMT 2024","61","Open Banking Gateway API - AC","Open Banking Gateway API","API Activity","","","Get API log stats - No Auth",""
"passed","Tue Mar 19 13:19:14 GMT 2024","Tue Mar 19 13:19:14 GMT 2024","218","Open Banking Gateway API - AP","Users","Create user","","","Create User - Invalid role",""
"passed","Tue Mar 19 13:19:11 GMT 2024","Tue Mar 19 13:19:11 GMT 2024","64","Open Banking Gateway API - AP","Roles","View all roles","","","List Roles - No access",""
"passed","Tue Mar 19 13:19:42 GMT 2024","Tue Mar 19 13:19:42 GMT 2024","131","Open Banking Gateway API - AC","Open Banking Gateway API","Users > Update User","","","Update User - Activate",""
"passed","Tue Mar 19 13:19:48 GMT 2024","Tue Mar 19 13:19:48 GMT 2024","56","Open Banking Gateway API - AC","Open Banking Gateway API","Collections > Calling Endpoints","","","Billpayment",""
"passed","Tue Mar 19 13:19:26 GMT 2024","Tue Mar 19 13:19:26 GMT 2024","216","Open Banking Gateway API - AP","Collections","Update Collection","","","Update API Endpoint Copy",""
"passed","Tue Mar 19 13:19:14 GMT 2024","Tue Mar 19 13:19:14 GMT 2024","222","Open Banking Gateway API - AP","Users","Create user","","","Create User - Blank role",""
"passed","Tue Mar 19 13:19:27 GMT 2024","Tue Mar 19 13:19:27 GMT 2024","62","Open Banking Gateway API - AP","Collections","Update API Endpoint","","","Update API Endpoint - Blank paths",""
"passed","Tue Mar 19 13:19:15 GMT 2024","Tue Mar 19 13:19:15 GMT 2024","68","Open Banking Gateway API - AP","Users","Setup Account","","","Setup Account - Used Token",""
"passed","Tue Mar 19 13:19:08 GMT 2024","Tue Mar 19 13:19:08 GMT 2024","78","Open Banking Gateway API - AP","Onboarding","Login","","","Login - Incorrect password",""
"passed","Tue Mar 19 13:19:43 GMT 2024","Tue Mar 19 13:19:43 GMT 2024","120","Open Banking Gateway API - AC","Open Banking Gateway API","Profile > Update profile","","","Update Profile",""
"passed","Tue Mar 19 13:19:48 GMT 2024","Tue Mar 19 13:19:48 GMT 2024","60","Open Banking Gateway API - AC","Open Banking Gateway API","Collections > Calling Endpoints","","","Accounts",""
"passed","Tue Mar 19 13:19:47 GMT 2024","Tue Mar 19 13:19:47 GMT 2024","113","Open Banking Gateway API - AC","Open Banking Gateway API","Collections > View a collection","","","View Collection",""
"passed","Tue Mar 19 13:19:10 GMT 2024","Tue Mar 19 13:19:11 GMT 2024","291","Open Banking Gateway API - AP","Roles","Create role","","","Create Role - Duplicate but not to be deleted",""
"passed","Tue Mar 19 13:19:10 GMT 2024","Tue Mar 19 13:19:10 GMT 2024","301","Open Banking Gateway API - AP","Roles","Create role","","","Create Role",""
